tanggal,pm10,so2,co,o3,no2
1/1/2015,24,4,17,4,6
1/2/2015,7,4,6,4,3
1/3/2015,19,4,7,7,4
1/4/2015,53,3,8,4,4
1/5/2015,53,3,6,4,2
1/6/2015,53,4,6,5,4
1/7/2015,23,4,7,4,3
1/8/2015,28,4,6,4,3
1/9/2015,13,4,5,4,2
1/10/2015,13,4,5,4,3
1/11/2015,26,4,7,5,3
1/12/2015,31,4,12,5,9
1/13/2015,30,4,16,3,12
1/14/2015,37,5,18,4,8
1/15/2015,22,5,14,4,8
1/16/2015,57,6,18,6,6
1/17/2015,36,5,14,7,8
1/18/2015,46,5,14,7,12
1/19/2015,49,4,16,16,10
1/20/2015,63,6,48,49,13
1/21/2015,56,6,36,33,10
1/22/2015,41,4,22,51,13
1/23/2015,41,4,37,20,16
1/24/2015,71,7,49,51,12
1/25/2015,19,5,8,40,4
1/26/2015,52,7,19,28,10
1/27/2015,68,5,34,24,9
1/28/2015,54,8,18,38,9
1/29/2015,43,3,17,36,6
1/30/2015,27,3,10,51,4
1/31/2015,36,3,10,30,8
2/1/2015,27,3,10,25,7
2/2/2015,50,3,31,32,11
2/3/2015,76,3,38,29,9
2/4/2015,68,3,27,36,10
2/5/2015,47,3,13,48,8
2/6/2015,24,3,11,35,7
2/7/2015,40,3,13,24,7
2/8/2015,35,3,17,24,8
2/9/2015,23,3,17,23,8
2/10/2015,13,3,21,24,8
2/11/2015,56,3,42,27,6
2/12/2015,72,3,41,27,9
2/13/2015,48,3,26,24,9
2/14/2015,58,3,41,27,8
2/15/2015,66,3,43,33,8
2/16/2015,69,3,36,37,11
2/17/2015,49,3,16,20,6
2/18/2015,56,3,32,32,11
2/19/2015,40,3,13,31,6
2/20/2015,50,3,26,36,10
2/21/2015,69,3,35,48,10
2/22/2015,62,3,21,51,7
2/23/2015,55,3,14,40,7
2/24/2015,62,4,25,41,10
2/25/2015,69,3,25,62,8
2/26/2015,64,3,19,85,7
2/27/2015,62,4,30,51,16
2/28/2015,59,3,25,35,13
3/1/2015,59,3,28,22,11
3/2/2015,36,3,11,25,8
3/3/2015,33,4,13,36,9
3/4/2015,42,4,33,28,9
3/5/2015,24,3,10,26,6
3/6/2015,58,4,27,70,8
3/7/2015,32,4,11,50,8
3/8/2015,31,3,14,24,8
3/9/2015,51,4,20,36,6
3/10/2015,31,3,11,63,7
3/11/2015,23,3,9,42,4
3/12/2015,18,4,9,34,7
3/13/2015,54,4,34,27,9
3/14/2015,58,4,29,27,8
3/15/2015,51,4,15,37,7
3/16/2015,35,4,16,31,5
3/17/2015,41,4,17,28,4
3/18/2015,43,4,12,69,9
3/19/2015,46,4,15,89,12
3/20/2015,32,4,12,82,8
3/21/2015,28,4,15,81,9
3/22/2015,48,4,21,76,8
3/23/2015,36,4,19,155,10
3/24/2015,59,4,31,74,11
3/25/2015,61,4,35,57,16
3/26/2015,41,4,32,51,12
3/27/2015,52,4,43,48,17
3/28/2015,49,4,19,53,9
3/29/2015,42,4,27,37,9
3/30/2015,61,4,32,38,10
3/31/2015,28,4,17,60,11
4/1/2015,36,4,19,51,9
4/2/2015,50,4,18,58,10
4/3/2015,36,4,32,47,11
4/4/2015,56,4,26,96,11
4/5/2015,58,4,36,77,13
4/6/2015,53,4,31,61,15
4/7/2015,22,4,14,51,9
4/8/2015,46,4,33,56,10
4/9/2015,53,4,29,59,12
4/10/2015,60,4,48,51,16
4/11/2015,35,4,16,51,10
4/12/2015,32,4,35,51,11
4/13/2015,32,4,28,51,11
4/14/2015,64,4,31,51,16
4/15/2015,54,4,21,54,15
4/16/2015,62,4,24,51,15
4/17/2015,56,4,20,34,16
4/18/2015,56,4,25,51,11
4/19/2015,57,4,20,51,11
4/20/2015,53,4,18,72,11
4/21/2015,61,4,45,51,14
4/22/2015,55,5,21,51,13
4/23/2015,20,5,7,27,4
4/24/2015,21,5,6,13,3
4/25/2015,18,4,7,20,7
4/26/2015,21,5,11,25,11
4/27/2015,23,5,9,15,4
4/28/2015,18,5,7,24,4
4/29/2015,19,5,6,22,4
4/30/2015,30,5,9,51,6
5/1/2015,36,5,10,67,10
5/2/2015,47,5,21,51,8
5/3/2015,49,6,23,60,18
5/4/2015,43,7,26,51,12
5/5/2015,54,8,53,51,16
5/6/2015,53,9,21,51,11
5/7/2015,53,9,21,51,11
5/8/2015,33,5,21,51,11
5/9/2015,26,9,24,51,13
5/10/2015,11,8,11,51,12
5/11/2015,5,8,21,51,30
5/12/2015,14,9,21,51,11
5/13/2015,7,9,21,51,43
5/14/2015,11,9,21,51,22
5/15/2015,12,11,21,51,63
5/16/2015,18,10,24,47,12
5/17/2015,28,9,24,57,10
5/18/2015,38,8,26,53,14
5/19/2015,37,9,21,86,11
5/20/2015,40,9,27,91,15
5/21/2015,35,13,19,53,12
5/22/2015,35,12,22,90,15
5/23/2015,53,14,29,57,18
5/24/2015,53,12,24,36,9
5/25/2015,53,9,23,71,14
