tanggal,pm10,so2,co,o3,no2
1/1/2015,13,5,28,5,8
1/2/2015,13,5,21,5,8
1/3/2015,9,5,25,8,2
1/4/2015,12,5,24,8,8
1/5/2015,13,5,23,5,8
1/6/2015,12,5,22,5,8
1/7/2015,15,6,32,7,3
1/8/2015,48,6,21,4,8
1/9/2015,10,6,22,5,8
1/10/2015,14,6,20,5,8
1/11/2015,15,6,21,5,8
1/12/2015,10,6,25,5,5
1/13/2015,10,6,33,5,12
1/14/2015,12,6,36,5,7
1/15/2015,14,6,34,6,10
1/16/2015,18,15,61,24,5
1/17/2015,16,8,30,6,5
1/18/2015,19,6,36,7,7
1/19/2015,16,6,37,7,7
1/20/2015,28,6,66,9,8
1/21/2015,21,6,37,10,6
1/22/2015,15,6,35,36,12
1/23/2015,10,6,50,41,7
1/24/2015,17,9,72,65,11
1/25/2015,12,7,26,67,4
1/26/2015,14,8,41,59,9
1/27/2015,12,8,51,49,9
1/28/2015,19,8,46,65,8
1/29/2015,10,8,32,61,7
1/30/2015,12,7,46,50,8
1/31/2015,11,8,32,41,4
2/1/2015,13,7,29,42,5
2/2/2015,20,13,30,70,80
2/3/2015,22,8,69,50,10
2/4/2015,26,10,52,55,9
2/5/2015,17,9,33,58,11
2/6/2015,16,8,52,49,9
2/7/2015,13,9,33,53,6
2/8/2015,17,9,34,46,9
2/9/2015,14,8,45,36,8
2/10/2015,13,7,42,46,11
2/11/2015,11,8,68,40,8
2/12/2015,19,10,50,50,10
2/13/2015,17,8,37,48,6
2/14/2015,14,8,56,48,7
2/15/2015,25,9,71,44,9
2/16/2015,18,8,50,72,10
2/17/2015,21,8,57,63,10
2/18/2015,19,9,48,50,10
2/19/2015,11,8,34,42,6
2/20/2015,11,9,42,68,11
2/21/2015,24,11,58,51,11
2/22/2015,24,13,30,70,8
2/23/2015,16,13,30,70,8
2/24/2015,9,10,30,70,9
2/25/2015,22,12,45,121,11
2/26/2015,13,12,35,147,12
2/27/2015,12,9,38,129,14
2/28/2015,12,8,43,65,12
3/1/2015,13,11,48,39,9
3/2/2015,15,10,40,41,9
3/3/2015,12,12,27,35,6
3/4/2015,20,9,40,37,8
3/5/2015,14,9,27,44,5
3/6/2015,20,10,44,39,8
3/7/2015,36,9,23,30,5
3/8/2015,17,8,30,35,4
3/9/2015,19,9,30,43,6
3/10/2015,33,9,36,41,6
3/11/2015,20,9,26,62,4
3/12/2015,22,9,25,43,4
3/13/2015,33,9,61,47,10
3/14/2015,41,10,44,52,9
3/15/2015,24,10,30,45,9
3/16/2015,14,9,52,29,6
3/17/2015,29,9,46,49,8
3/18/2015,27,11,35,91,11
3/19/2015,37,11,33,130,10
3/20/2015,16,9,27,109,11
3/21/2015,16,9,30,92,12
3/22/2015,22,10,36,113,10
3/23/2015,24,10,27,131,9
3/24/2015,37,10,46,94,12
3/25/2015,26,10,44,48,11
3/26/2015,27,9,43,62,11
3/27/2015,18,10,58,83,15
3/28/2015,24,10,33,77,13
3/29/2015,18,9,53,74,10
3/30/2015,25,10,47,76,13
3/31/2015,17,10,29,72,15
