"nama_sarana_kesehatan";"kode_sarana_kesehatan";"kelurahan";"kecamatan";"jml_balita_ditimbang";"intervensi_yang_diberikan";"status_gizi_kurang";"status_gizi_buruk";"status_gizi_stunting";"status_gizi_lebih";"pemberian_vit_a";"mendapatkan_pelayanan_kesehatan_sesuai_standar";"jumlah_balita_yang_memiliki_tingkat_kecukupan_gizi_makro_minimal_80%_akg"
"Puskesmas Manukan Kulon";"1033310";"Manukan Kulon";"Tandes";"2351";"";"13";"0";"3";"147";"";"";""
"Puskesmas Sidosermo";"1033284";"Margorejo";"Wonocolo";"505";"";"0";"0";"2";"0";"";"";""
"Puskesmas Medokan Ayu";"1033288";"Medokan Ayu";"Rungkut";"987";"";"0";"0";"9";"0";"";"";""
"Puskesmas Keputih";"1033292";"Medokan Semampir";"Sukolilo";"1407";"";"0";"0";"10";"0";"";"";""
"Puskesmas Gayungan";"1033282";"Menanggal";"Gayungan";"395";"";"33";"3";"3";"61";"";"";""
"Puskesmas Mulyorejo";"1033293";"Mulyorejo";"Mulyorejo";"277";"";"0";"0";"10";"0";"";"";""
"Puskesmas Menur";"1033290";"Menur Pumpungan";"Sukolilo";"570";"";"0";"0";"7";"0";"";"";""
"Puskesmas Mojo";"1033296";"Mojo";"Gubeng";"2665";"";"0";"0";"14";"0";"";"";""
"Puskesmas Ngagel Rejo";"1033299";"Ngagel Rejo";"Wonokromo";"2685";"";"0";"0";"19";"0";"";"";""
"Puskesmas Menur";"1033290";"Nginden Jangkungan";"Sukolilo";"968";"";"0";"0";"11";"0";"";"";""
"Puskesmas Ngagel Rejo";"1033299";"Ngagel";"Wonokromo";"559";"";"11";"1";"13";"31";"";"";""
"Puskesmas Kebonsari";"1033281";"Pagesangan";"Jambangan";"933";"";"0";"0";"7";"0";"";"";""
"Puskesmas Perak Timur";"1033334";"Nyamplungan";"Pabean Cantian";"455";"";"1";"0";"7";"42";"";"";""
"Puskesmas Pacar Keling";"1033322";"Pacarkembang";"Tambaksari";"1950";"";"0";"0";"6";"0";"";"";""
"Puskesmas Pacar Keling";"1033322";"Pacarkeling";"Tambaksari";"1109";"";"0";"0";"11";"0";"";"";""
"Puskesmas Benowo";"1033308";"Pakal";"Pakal";"735";"";"5";"1";"5";"38";"";"";""
"Puskesmas Pakis";"1033300";"Pakis";"Sawahan";"1498";"";"67";"3";"11";"198";"";"";""
"Puskesmas Sidotopo Wetan";"1033325";"Sidotopo Wetan";"Kenjeran";"3102";"";"58";"7";"48";"60";"";"";""
"Puskesmas Medokan Ayu";"1033288";"Penjaringansari";"Rungkut";"808";"";"1";"0";"5";"0";"";"";""
"Puskesmas Perak Timur";"1033334";"Perak Timur";"Pabean Cantian";"645";"";"8";"0";"3";"68";"";"";""
"Puskesmas Peneleh";"1033319";"Peneleh";"Genteng";"703";"";"0";"0";"7";"0";"";"";""
"Puskesmas Tenggilis";"1033286";"Panjang Jiwo";"Tenggilis Mejoyo";"511";"";"0";"0";"4";"0";"";"";""
"Puskesmas Pegirian";"1033332";"Pegirian";"Semampir";"1882";"";"13";"5";"16";"28";"";"";""
"Puskesmas Krembangan Selatan";"1033337";"Perak Barat";"Krembangan";"359";"";"0";"0";"4";"0";"";"";""
"Puskesmas Perak Timur";"1033334";"Perak Utara";"Pabean Cantian";"1135";"";"6";"1";"15";"106";"";"";""
"Puskesmas Dukuh Kupang";"1033301";"Pradah Kali Kendal";"Dukuh Pakis";"355";"";"0";"0";"5";"0";"";"";""
"Puskesmas Sawahan";"1033315";"Petemon";"Sawahan";"1512";"";"0";"0";"9";"0";"";"";""
"Puskesmas Rangkah";"1033321";"Ploso";"Tambaksari";"2201";"";"4";"0";"10";"15";"";"";""
"Puskesmas Tanjungsari";"1033312";"Putat Gede";"Sukomanunggal";"376";"";"7";"0";"1";"66";"";"";""
"Puskesmas Kalirungkut";"1033289";"Rungkut Kidul";"Rungkut";"769";"";"0";"0";"11";"0";"";"";""
"Puskesmas Putat Jaya";"1033316";"Putat Jaya";"Sawahan";"2731";"";"0";"0";"26";"0";"";"";""
"Puskesmas Rangkah";"1033321";"Rangkah";"Tambaksari";"1092";"";"0";"0";"5";"0";"";"";""
"Puskesmas Sememi";"1033341";"Romokalisari";"Benowo";"152";"";"0";"0";"0";"0";"";"";""
"Puskesmas Lontar";"1033307";"Sambikerep";"Sambikerep";"988";"";"0";"0";"16";"0";"";"";""
"Puskesmas Gunung Anyar";"1033287";"Rungkut Menanggal";"Gunung Anyar";"595";"";"0";"0";"8";"0";"";"";""
"Puskesmas Gunung Anyar";"1033287";"Rungkut Tengah";"Gunung Anyar";"333";"";"0";"0";"9";"0";"";"";""
"Puskesmas Jagir";"1033297";"Sawunggaling";"Wonokromo";"1536";"";"51";"0";"8";"330";"";"";""
"Puskesmas Sawahan";"1033315";"Sawahan";"Sawahan";"939";"";"0";"0";"6";"0";"";"";""
"Puskesmas Tambakrejo";"1033329";"Simokerto";"Simokerto";"982";"";"0";"0";"10";"0";"";"";""
"Puskesmas Sidosermo";"1033284";"Sidosermo";"Wonocolo";"851";"";"0";"0";"9";"0";"";"";""
"Puskesmas Sidotopo";"1033331";"Sidotopo";"Semampir";"1830";"";"0";"0";"24";"0";"";"";""
"Puskesmas Sememi";"1033341";"Sememi";"Benowo";"2645";"";"3";"1";"7";"24";"";"";""
"Puskesmas Menur";"1033290";"Semolowaru";"Sukolilo";"1104";"";"0";"0";"6";"0";"";"";""
"Puskesmas Simolawang";"1033330";"Sidodadi";"Simokerto";"890";"";"0";"0";"11";"0";"";"";""
"Puskesmas Simomulyo";"1033313";"Simomulyo";"Sukomanunggal";"1124";"";"82";"18";"3";"186";"";"";""
