tanggal,pm10,so2,co,o3,no2
1/1/2015,43,2,39,27,7
1/2/2015,28,3,26,48,6
1/3/2015,22,2,28,44,6
1/4/2015,18,2,28,42,6
1/5/2015,19,2,25,32,4
1/6/2015,27,3,26,37,6
1/7/2015,29,4,25,35,11
1/8/2015,30,3,25,40,9
1/9/2015,24,3,24,31,5
1/10/2015,25,3,24,43,4
1/11/2015,23,3,23,36,7
1/12/2015,30,3,28,29,12
1/13/2015,32,3,39,35,14
1/14/2015,38,3,44,40,17
1/15/2015,35,4,33,47,12
1/16/2015,45,5,33,40,17
1/17/2015,32,3,26,43,15
1/18/2015,39,3,29,45,12
1/19/2015,47,3,39,39,16
1/20/2015,69,5,72,51,24
1/21/2015,56,7,61,30,12
1/22/2015,44,3,36,31,13
1/23/2015,47,3,50,40,23
1/24/2015,55,5,63,59,20
1/25/2015,33,4,29,37,18
1/26/2015,45,6,37,32,14
1/27/2015,55,5,42,30,13
1/28/2015,56,6,36,55,13
1/29/2015,54,13,34,47,17
1/30/2015,38,6,30,34,12
1/31/2015,35,5,27,34,11
2/1/2015,34,3,30,34,11
2/2/2015,46,4,49,42,21
2/3/2015,66,4,50,32,13
2/4/2015,67,5,59,40,17
2/5/2015,45,3,31,32,17
2/6/2015,30,4,26,29,13
2/7/2015,32,4,30,31,15
2/8/2015,32,4,26,27,10
2/9/2015,27,3,32,28,14
2/10/2015,23,3,34,30,11
2/11/2015,52,4,58,28,11
2/12/2015,65,4,54,32,22
2/13/2015,45,5,36,30,15
2/14/2015,51,5,57,35,13
2/15/2015,67,5,50,39,12
2/16/2015,68,7,56,39,15
2/17/2015,44,6,31,30,10
2/18/2015,55,19,40,38,19
2/19/2015,31,6,27,36,12
2/20/2015,52,24,39,30,12
2/21/2015,78,12,60,62,27
2/22/2015,60,7,37,44,23
2/23/2015,50,6,32,35,15
2/24/2015,55,7,42,42,14
2/25/2015,60,8,36,86,15
2/26/2015,71,10,33,113,18
2/27/2015,70,11,29,124,15
2/28/2015,67,13,36,42,18
3/1/2015,59,11,45,35,16
3/2/2015,59,6,27,35,11
3/3/2015,59,6,33,33,14
3/4/2015,44,6,41,34,15
3/5/2015,32,4,29,22,10
3/6/2015,53,8,33,36,18
3/7/2015,44,7,27,42,20
3/8/2015,39,5,36,28,17
3/9/2015,41,5,33,41,17
3/10/2015,30,4,26,58,25
3/11/2015,30,4,27,43,15
3/12/2015,30,4,29,31,12
3/13/2015,55,9,45,33,24
3/14/2015,55,5,40,28,13
3/15/2015,51,5,30,49,11
3/16/2015,40,5,35,41,19
3/17/2015,50,5,34,83,21
3/18/2015,75,22,35,104,23
3/19/2015,68,15,32,81,20
3/20/2015,57,9,30,127,19
3/21/2015,47,8,29,83,14
3/22/2015,57,13,34,71,15
3/23/2015,53,12,33,84,19
3/24/2015,76,17,34,69,20
3/25/2015,73,21,35,47,20
3/26/2015,66,15,34,49,12
3/27/2015,62,14,34,52,16
3/28/2015,60,17,32,59,17
3/29/2015,63,14,40,41,9
3/30/2015,57,14,34,43,14
3/31/2015,47,9,28,54,10
4/1/2015,65,19,37,80,21
4/2/2015,62,9,35,88,22
4/3/2015,44,8,50,50,17
4/4/2015,67,10,46,108,15
4/5/2015,68,10,45,66,23
4/6/2015,66,11,39,48,18
4/7/2015,56,10,27,33,9
4/8/2015,49,7,29,86,13
4/9/2015,65,13,42,86,17
4/10/2015,74,18,59,76,23
4/11/2015,46,6,27,62,12
4/12/2015,58,11,32,82,15
4/13/2015,71,21,30,64,14
4/14/2015,69,7,31,53,12
4/15/2015,64,13,36,46,19
4/16/2015,73,17,36,64,20
4/17/2015,64,15,33,53,12
4/18/2015,78,11,43,74,19
4/19/2015,82,11,48,111,21
4/20/2015,58,11,38,93,19
4/21/2015,76,25,37,91,17
4/22/2015,69,11,36,87,19
4/23/2015,39,5,26,42,7
4/24/2015,34,4,26,26,5
4/25/2015,32,4,25,33,14
4/26/2015,53,5,39,32,16
4/27/2015,53,4,47,19,6
4/28/2015,28,4,28,34,6
4/29/2015,32,4,27,30,6
4/30/2015,40,5,28,51,16
5/1/2015,57,6,33,105,11
5/2/2015,74,6,53,99,16
5/3/2015,60,21,35,61,21
5/4/2015,55,15,43,45,15
5/5/2015,73,22,61,51,18
5/6/2015,79,19,43,40,16
5/7/2015,59,16,29,51,13
5/8/2015,70,11,27,49,15
5/9/2015,81,13,36,83,15
5/10/2015,56,7,28,76,10
5/11/2015,59,11,27,46,12
5/12/2015,77,20,33,45,16
5/13/2015,66,24,33,47,17
5/14/2015,58,14,25,47,8
5/15/2015,60,7,38,37,14
5/16/2015,68,9,46,40,17
5/17/2015,58,10,25,47,9
5/18/2015,68,16,27,50,14
5/19/2015,84,11,28,62,15
5/20/2015,75,8,25,68,10
5/21/2015,79,12,27,50,16
5/22/2015,85,14,27,58,15
5/23/2015,85,21,29,52,14
5/24/2015,75,24,30,42,13
5/25/2015,67,15,26,48,12
5/26/2015,70,10,28,53,11
5/27/2015,69,10,26,44,12
5/28/2015,59,10,24,37,11
5/29/2015,62,8,25,52,11
5/30/2015,74,12,27,56,12
5/31/2015,70,15,31,50,11
6/1/2015,74,8,27,49,12
6/2/2015,75,18,45,48,17
6/3/2015,54,8,28,58,13
6/4/2015,66,7,25,39,8
6/5/2015,58,10,26,43,10
6/6/2015,73,15,32,55,17
6/7/2015,66,7,37,53,9
6/8/2015,75,12,37,43,14
6/9/2015,71,12,31,30,13
6/10/2015,59,27,49,43,17
6/11/2015,59,9,43,69,22
6/12/2015,72,8,43,107,19
6/13/2015,81,28,29,78,14
6/14/2015,73,13,36,71,14
6/15/2015,75,15,36,72,19
6/16/2015,74,11,39,69,20
6/17/2015,81,18,32,60,17
6/18/2015,78,16,29,52,16
6/19/2015,78,20,27,87,14
6/20/2015,65,10,26,59,17
6/21/2015,76,14,28,99,12
6/22/2015,60,8,31,92,10
6/23/2015,83,17,32,98,20
6/24/2015,86,17,34,66,17
6/25/2015,77,15,38,53,17
6/26/2015,83,20,29,51,15
6/27/2015,77,23,31,53,12
6/28/2015,67,21,26,84,11
6/29/2015,79,26,35,99,18
6/30/2015,68,14,29,75,15
7/1/2015,68,21,29,81,15
7/2/2015,68,16,37,72,17
7/3/2015,63,14,31,83,18
7/4/2015,59,14,26,56,14
7/5/2015,59,14,26,56,14
7/6/2015,59,14,26,56,14
7/7/2015,59,14,26,56,14
7/8/2015,59,14,26,56,14
7/9/2015,59,14,26,56,14
