,Contrast untuk 0°,Contrast untuk 45°,Contrast untuk 90°,Contrast untuk 135°,Dissimilarity untuk 0°,Dissimilarity untuk 45°,Dissimilarity untuk 90°,Dissimilarity untuk 135°,Homogeneity untuk 0°,Homogeneity untuk 45°,Homogeneity untuk 90°,Homogeneity untuk 135°,Energy untuk 0°,Energy untuk 45°,Energy untuk 90°,Energy untuk 135°,Correlation untuk 0°,Correlation untuk 45°,Correlation untuk 90°,Correlation untuk 135°
18,18.072896400777605,34.02946472167969,19.093795598248423,34.534942626953125,2.578824173151668,3.5423126220703125,2.6208505593384364,3.482513427734375,0.3923521791797069,0.31760250799981876,0.38023198069592,0.3181418701038946,0.056110907384140866,0.049152569516926196,0.05472807727289282,0.049373453259762085,0.9956854592033181,0.991900518819391,0.9954461587968817,0.9917801767269492
19,17.638162694551934,32.823333740234375,18.217245257781588,33.27088928222656,2.64895428015557,3.498687744140625,2.6477839250971975,3.5611724853515625,0.3822472334801257,0.31475281647837805,0.380312350385919,0.3149530122512069,0.0615245657583524,0.05451936719057561,0.060715604388208666,0.05472314154254338,0.9959436329369609,0.9924715098935106,0.9958126619636687,0.9923688844137236
20,18.095665126458695,34.52764892578125,18.812272008754352,33.5594482421875,2.555356274319003,3.4864501953125,2.646963156614725,3.503173828125,0.3871260250959561,0.3107280994752576,0.3754777444209569,0.31212662823962173,0.05134628530908856,0.04474225882835424,0.05018166892854973,0.04469692881021579,0.994978135823389,0.9904453293735502,0.994782172973317,0.990713183655031
21,20.284563472761988,35.65602111816406,19.07537390564141,37.23200988769531,2.7137949902722878,3.6110687255859375,2.6829249756808418,3.6920623779296875,0.3830464807192488,0.31085259373101387,0.3747766279827203,0.3114212289959653,0.05846747059599902,0.0517244377584959,0.057320367507465816,0.05161041626174325,0.9955074226407089,0.9921197562348745,0.9957757829341104,0.9917714935091584
22,21.890974586575094,42.729583740234375,23.1478447227618,39.88423156738281,2.9787056177041977,4.14093017578125,3.0583201605057533,3.9534149169921875,0.35190761835627465,0.2797886737894568,0.3389409651664094,0.2838011096948688,0.04536419925175894,0.03957944731841451,0.044390175813554054,0.039891379127086804,0.9944336135305173,0.9891555165407162,0.994112676731462,0.9898777217284903
23,14.643664883268107,29.889175415039062,18.173744528209568,30.538803100585938,2.3813229571983934,3.3046417236328125,2.5625151994162714,3.3090057373046875,0.4016367030739079,0.32544777778264183,0.38593642726627625,0.3265625907906942,0.06872783468859336,0.06087953182287005,0.06729705035274794,0.060890366477909394,0.9961834404645277,0.9922318255601889,0.9952633830697261,0.992063005931142
24,18.539731274318495,33.45579528808594,19.05176921206161,35.859588623046875,2.5235894941633634,3.4148712158203125,2.589250972762567,3.449859619140625,0.3985870044447124,0.31887483441838776,0.3855436953017684,0.32163798625638673,0.05441852108317114,0.04758883260048661,0.05302747227003431,0.04743093888672974,0.9958882157104993,0.9926031948117106,0.9957777728563744,0.9920716983913905
25,17.62446802042742,30.836105346679688,17.140077821011126,32.79649353027344,2.6343780398831895,3.4939422607421875,2.5960907101166515,3.4923858642578125,0.38126550866249886,0.3095655842222526,0.3769756569172348,0.316711440474668,0.05994173937692226,0.052759802392410085,0.05846009009788156,0.05311059857383187,0.9959044596232862,0.9928505892078612,0.996014763449577,0.9923960732384479
26,17.744072227625903,32.8603515625,17.447774805447022,30.859695434570312,2.6979571984434814,3.63671875,2.6865576361867154,3.5108184814453125,0.3743170553138002,0.3043497934718753,0.36763011293704073,0.3081794924299201,0.05108618573779485,0.044941527276537226,0.05051399510457481,0.04493795501010411,0.9956360629991964,0.9919309889062036,0.9957112931988945,0.9924222057550284
27,11.844479571984172,17.98297119140625,9.714083779182692,18.728546142578125,2.2555021887159095,2.78912353515625,2.128298273346262,2.86309814453125,0.3949221934212384,0.3397702020424004,0.396829043471402,0.3350667294007788,0.059692540491358845,0.05519951250952274,0.05952135978158979,0.055078838010663905,0.9939608395048054,0.9908520686809635,0.9950474655926084,0.9904727379371666
28,15.413013740271984,30.610671997070312,18.29638861867643,30.475906372070312,2.5998753647859347,3.5749664306640625,2.717321254863729,3.5171051025390625,0.3736722230684839,0.3054754112166657,0.3689434852859392,0.30669557434709416,0.053693805046873745,0.04702920186852124,0.052696835683810304,0.04738666139248097,0.9967397377642339,0.9935252628010394,0.9961245199944453,0.9935536314429343
29,18.548683730544123,38.108428955078125,19.57437074416279,32.15342712402344,2.5722428258754024,3.55096435546875,2.631094965953226,3.4307708740234375,0.3926100978149207,0.31914273570579027,0.3836347042448429,0.32086255857237117,0.062386921353385916,0.055066169673925365,0.06078578491503475,0.055063577727826746,0.995380219700219,0.9905292379192837,0.9951224280442433,0.9920092360548723
30,16.325495500972284,29.554046630859375,18.583763983462415,34.33392333984375,2.7529334873540274,3.719757080078125,2.8432180204279387,3.8271484375,0.3502638258345869,0.278565462090709,0.34553959523558636,0.28366608978805863,0.04139238804594111,0.03610445694886729,0.040875862458439216,0.03631397049755038,0.9954949684213363,0.9918526979474789,0.9948684813616416,0.9905353919981754
31,11.531873176069734,18.35516357421875,10.249148832684599,19.099639892578125,2.0979906371594876,2.6746826171875,2.1032648346303136,2.696990966796875,0.4193877374684219,0.3603025323212418,0.4121081318759793,0.35929580749053813,0.06790499025833778,0.06226962816156559,0.06692277815484984,0.06214284268802564,0.9940865969029421,0.9906131799843773,0.9947417647896708,0.9902324896447692
32,10.483691026264351,19.595626831054688,11.63469722762622,18.495452880859375,2.1417041585602656,2.8549346923828125,2.2413059338520926,2.77410888671875,0.40286339180430103,0.3379246817347613,0.3941320331562534,0.345020498894665,0.050090751757725385,0.045263241176346176,0.04948783729900421,0.0456745171775332,0.994479034363026,0.9896997149700832,0.9938696698079401,0.990277978161179
33,11.028270914396652,21.6795654296875,11.96508694066119,18.281784057617188,2.1749148832684395,2.8739013671875,2.191284654669205,2.7760772705078125,0.4063077561472976,0.34824951316882985,0.4077857653003472,0.35155257663805906,0.06899816022821284,0.06442056451157792,0.06952422297992322,0.06468386871257104,0.9952678575096925,0.9907190607718457,0.9948749563302894,0.9921736965482081
