tanggal,SO2
2015-12-01,19
2015-12-02,17
2015-12-03,21
2015-12-04,22
2015-12-05,29
2015-12-06,19
2015-12-07,26
2015-12-08,25
2015-12-09,20
2015-12-10,25
2015-12-11,24
2015-12-12,19
2015-12-13,21
2015-12-14,17
2015-12-15,18
2015-12-16,18
2015-12-17,19
2015-12-18,18
2015-12-19,18
2015-12-20,18
2015-12-21,18
2015-12-22,18
2015-12-23,19
2015-12-24,18
2015-12-25,19
2015-12-26,19
2015-12-27,21
2015-12-28,21
2015-12-29,22
2015-12-30,22
2015-12-31,18
