tanggal,pm10
12/1/2015,68
12/2/2015,42
12/3/2015,44
12/4/2015,61
12/5/2015,74
12/6/2015,63
12/7/2015,52
12/8/2015,70
12/9/2015,55
12/10/2015,63
12/11/2015,60
12/12/2015,57
12/13/2015,60
12/14/2015,34
12/15/2015,28
12/16/2015,31
12/17/2015,30
12/18/2015,31
12/19/2015,23
12/20/2015,34
12/21/2015,34
12/22/2015,17
12/23/2015,33
12/24/2015,21
12/25/2015,29
12/26/2015,32
12/27/2015,43
12/28/2015,43
12/29/2015,55
12/30/2015,33
12/31/2015,24
